,dominant1,dominant2,Unique_ID,sample_name,expedition,tube_number,coral_tag,TotalSeq
24,ASV89,ASV15,5_2014,5_2014,2014,5,5,3156
155,ASV15,,85_2015a - Post,5_2015a,2015a - Post,85,5,14674
216,ASV15,ASV89,5_2015b,5_2015b,2015b,5,5,15804
423,ASV89,ASV15,5_2015c,5_2015c,2015c,5,5,1546
474,ASV89,,42_2016a,5_2016a,2016a,42,5,2963
27,ASV15,,8_2014,8_2014,2014,8,8,3931
30,ASV4,ASV10,15_2014,15_2014,2014,15,15,11803
159,ASV10,ASV4,93_2015a - Post,15_2015a,2015a - Post,93,15,9973
229,ASV4,,17_2015b,15_2015b,2015b,17,15,10424
424,ASV10,ASV4,12_2015c,15_2015c,2015c,12,15,8853
477,ASV10,ASV4,51_2016a,15_2016a,2016a,51,15,14504
610,ASV16,,16_2014,16_2014,2014,16,16,4408
611,ASV2,,18_2014,18_2014,2014,18,18,9185
79,ASV10,,187_2015c,187_2015c,2015c,187,25,6
612,ASV17,ASV2,25_2014,25_2014,2014,25,25,4861
613,ASV16,,27_2014,27_2014,2014,27,27,6885
150,ASV6,,192_2015c,32_2015c,2015c,192,32,31
614,ASV6,,32_2014,32_2014,2014,32,32,8684
615,ASV25,,40_2014,40_2014,2014,40,40,8925
616,ASV16,,42_2014,42_2014,2014,42,42,8320
57,ASV4,ASV9,145_2015b_1,46_2015b_1,2015b,145,46,114
280,ASV4,ASV9,145_2015b,46_2015b,2015b,145,46,14142
386,ASV4,ASV9,46_2014,112_874_2014,2014,46,46,640
427,ASV4,ASV9,87_2015c,46_2015c,2015c,87,46,22343
482,ASV4,ASV9,68_2016a,46_2016a,2016a,68,46,13338
44,ASV2,,55_2014_2,55_2014_2,2014,55,55,120
617,ASV7,,57_2014,57_2014,2014,57,57,7546
45,ASV25,,59_2014_2,59_2014_2,2014,59,59,11
37,ASV90,,63_2014,63_2014,2014,63,63,5842
43,ASV19,,41_2014_2,41_2014_2,2014,41,66,10
619,ASV16,,75_2014,75_2014,2014,75,75,2722
620,ASV9,,77_2014,77_2014,2014,77,77,10654
621,ASV80,,79_2014,79_2014,2014,79,79,10612
46,ASV2,ASV17,80_2014_2,80_2014_2,2014,80,80,1510
622,ASV2,ASV17,80_2014,80_2014,2014,80,80,59
623,ASV7,,81_2014,81_2014,2014,81,81,2753
40,ASV10,ASV4,87_2014,87_2014,2014,87,87,7917
54,ASV26,,97_2014,97_2014,2014,97,97,7135
163,ASV26,,100_2015a - Post,97_2015a,2015a - Post,100,97,5267
174,ASV79,ASV26,224_2015c,97_2015c,2015c,224,97,137
230,ASV26,ASV79,24_2015b,97_2015b,2015b,24,97,6458
60,ASV97,,107_2014,107_2014,2014,107,107,2970
167,ASV97,,109_2015a - Post,107_2015a,2015a - Post,109,107,11069
387,ASV16,ASV174,112_2014,128_2014,2014,112,112,113
237,ASV2,,35_2015b,119_2015b,2015b,35,119,8240
624,ASV15,,122_2014,122_2014,2014,122,122,5120
625,ASV16,,124_2014,124_2014,2014,124,124,12045
62,ASV7,,126_2014,126_2014,2014,126,126,9195
66,ASV44,,131_2014,131_2014,2014,131,131,4575
71,ASV7,,136_2014,136_2014,2014,136,136,9138
178,ASV7,,132_2015a - Post,136_2015a,2015a - Post,132,136,10057
245,ASV7,,45_2015b,136_2015b,2015b,45,136,21157
74,ASV56,,140_2014,140_2014,2014,140,140,7221
181,ASV56,,135_2015a - Post,140_2015a,2015a - Post,135,140,10771
91,ASV2,,144_2014,144_2014,2014,144,144,2129
185,ASV2,,137_2015a - Post,144_2015a,2015a - Post,137,144,5286
249,ASV2,,49_2015b,144_2015b,2015b,49,144,16612
96,ASV27,,151_2014,151_2014,2014,151,151,9024
187,ASV27,ASV15,143_2015a - Post,151_2015a,2015a - Post,143,151,10992
251,ASV27,ASV15,54_2015b,151_2015b,2015b,54,151,27413
451,ASV27,ASV15,332_2015c,151_1166_2015c,2015c,332,151,1103
626,ASV9,ASV44,156_2014,156_2014,2014,156,156,6734
627,ASV2,,168_2014,168_2014,2014,168,168,5043
628,ASV17,ASV2,169_2014,169_2014,2014,169,169,12466
148,ASV7,,35_2019,35_2019,2019,35,172,58
629,ASV16,,172_2014,172_1112_2014,2014,172,172,11987
630,ASV25,,177_2014,177_2014,2014,177,177,661
631,ASV4,ASV10,180_2014,180_2014,2014,180,180,7498
389,ASV26,,194_2014,197_2014,2014,194,194,430
438,ASV26,,201_2015c,194_2015c,2015c,201,194,2054
514,ASV26,,193_2016a,194_2016a,2016a,193,194,861
390,ASV7,,197_2014,200_972_2014,2014,197,197,433
439,ASV7,,204_2015c,197_2015c,2015c,204,197,5777
515,ASV7,,194_2016a,197_2016a,2016a,194,197,7178
633,ASV2,ASV17,208_2014,208_2014,2014,208,208,13852
61,ASV145,ASV25,148_2017,230_2017,2017,148,230,7213
103,ASV145,ASV25,148_2017_2,148_2017_2,2017,148,230,29
634,ASV4,,238_2014,238_2014,2014,238,238,9229
635,ASV7,,239_2014,239_2014,2014,239,239,11474
291,ASV16,ASV140,241_2014,241_2015b,2014,241,241,8755
636,ASV16,ASV140,176_2015b,241_2014,2015b,176,241,1497
637,ASV16,,264_2014,264_2014,2014,264,264,5998
638,ASV2,,286_2014,286_2014,2014,286,286,11437
639,ASV77,,294_2014,294_2014,2014,294,294,1422
640,ASV7,,300_2014,300_2014,2014,300,300,11020
641,ASV2,ASV17,304_2014,304_2014,2014,304,304,5842
642,ASV16,,307_2014,307_2014,2014,307,307,8611
392,ASV14,,314_2014,317_949_2014,2014,314,314,1840
643,ASV15,,318_2014,318_2014,2014,318,318,9257
307,ASV16,,254_2015b,325_2015b,2015b,254,325,2397
351,ASV16,,487_2015c,325_2015c,2015c,487,325,36
644,ASV16,,325_2014,325_2014,2014,325,325,7792
645,ASV97,ASV25,332_2014,332_2014,2014,332,332,7752
646,ASV27,ASV2,343_2014,343_2014,2014,343,343,7474
394,ASV10,ASV4,361_2014,364_2014,2014,361,361,183
395,ASV16,ASV90,364_2014,441_2014,2014,364,364,278
463,ASV90,ASV16,527_2015c,364_2015c,2015c,527,364,1922
503,ASV90,ASV16,129_2016a,364_2016a,2016a,129,364,6929
97,ASV82,ASV22,387_2014,387_2014,2014,387,387,12354
189,ASV82,ASV22,146_2015a - Post,387_2015a,2015a - Post,146,387,20955
649,ASV67,,401_2014,401_2014,2014,401,401,8932
651,ASV4,,420_2014,420_2014,2014,420,420,5959
652,ASV15,,421_2014,421_2014,2014,421,421,7096
653,ASV140,,425_2014,425_2014,2014,425,425,1183
255,ASV17,,62_2015b,430_2015b,2015b,62,430,10155
305,ASV17,,341_2015c,430_2015c,2015c,341,430,357
81,ASV2,,344_2015c,344_2015c,2015c,344,434,765
654,ASV2,,434_2014,434_2014,2014,434,434,7980
112,ASV32,ASV80,453_2014,453_2014,2014,453,453,27367
656,ASV16,,459_2014,459_2014,2014,459,459,11215
657,ASV115,,464_2014,464_2014,2014,464,464,21954
113,ASV7,,467_2014,467_2014,2014,467,467,7156
194,ASV7,,155_2015a - Post,467_2015a,2015a - Post,155,467,11083
87,ASV28,,93_2015c,93_2015c,2015c,93,474,23
116,ASV45,ASV28,474_2014,474_2014,2014,474,474,2258
190,ASV45,ASV28,147_2015a - Post,474_2015a,2015a - Post,147,474,14027
272,ASV45,ASV28,135_2015b,474_2015b,2015b,135,474,19757
119,ASV16,,476_2014,476_2014,2014,476,476,3551
192,ASV16,,148_2015a - Post,476_2015a,2015a - Post,148,476,9785
270,ASV16,,134_2015b,476_2015b,2015b,134,476,14442
658,ASV19,ASV39,488_2014,488_2014,2014,488,488,20550
142,ASV16,ASV174,189_2015b,489_2015b,2015b,189,489,196
344,ASV16,,441_2015c,489_2015c,2015c,441,489,265
659,ASV16,,489_2014,489_2014,2014,489,489,5676
660,ASV22,,495_2014,495_2014,2014,495,495,7613
397,ASV28,,499_2014,46_2014,2014,499,499,772
410,ASV28,,195_2015b,499_2015b,2015b,195,499,788
456,ASV28,,452_2015c,499_2015c,2015c,452,499,5840
466,ASV28,,5_2016a,499_2016a,2016a,5,499,3104
661,ASV15,,502_2014,502_2014,2014,502,502,3101
662,ASV22,ASV218,507_2014,507_2014,2014,507,507,3675
663,ASV10,,511_2014,511_2014,2014,511,511,61
664,ASV174,ASV90,513_2014,513_2014,2014,513,513,284
665,ASV17,ASV2,515_2014,515_2014,2014,515,515,1184
399,ASV22,ASV6,29_2015a - Pre,580_2015a,2015a - Pre,29,580,4879
277,ASV9,,310_2017,591_2017,2017,310,591,22307
401,ASV9,,40_2015a - Pre,591_2015a,2015a - Pre,40,591,8233
409,ASV9,,86_2015b,591_2015b,2015b,86,591,496
431,ASV9,,109_2015c,591_2015c,2015c,109,591,4257
507,ASV9,,156_2016a,591_2016a,2016a,156,591,12881
579,ASV9,,111_2016b,591_2016b,2016b,111,591,15901
13,ASV4,,115_2015c,596_2015c,2015c,115,596,685
381,ASV2,ASV17,91_2015b,596_2015b,2015b,91,596,95
666,ASV2,,45_2015a - Pre,596_2015a,2015a - Pre,45,596,30
20,ASV7,,120_2015c,601_2015c,2015c,120,601,467
578,ASV32,,107_2016b,601_2016b,2016b,107,601,13180
667,ASV22,,54_2015a - Pre,604_2015a,2015a - Pre,54,604,5790
678,ASV22,,55_2015a,55_2015a,2015a,55,604,82
402,ASV6,,59_2015a - Pre,608_2015a,2015a - Pre,59,608,1575
432,ASV6,,130_2015c,608_2015c,2015c,130,608,11418
508,ASV6,,161_2016a,608_2016a,2016a,161,608,6986
403,ASV9,,61_2015a - Pre,610_2015a,2015a - Pre,61,610,2704
434,ASV9,,136_2015c,610_2015c,2015c,136,610,12481
511,ASV9,,165_2016a,610_2016a,2016a,165,610,9205
405,ASV14,,73_2015a - Pre,624_2015a,2015a - Pre,73,624,729
435,ASV9,ASV132,138_2015c,624_2015c,2015c,138,624,9691
510,ASV132,ASV9,163_2016a,624_2016a,2016a,163,624,4251
